,group_id,context,groups
10,10,"  Returns the indices of the maximum value of all elements in the input tensor.   Returns the indices of the minimum value(s) of the flattened tensor or along a dimension   Returns the maximum value of each slice of the input tensor in the given dimension(s)dim.   Returns the minimum value of each slice of the input tensor in the given dimension(s)dim.   Tests if all elements in inputevaluate toTrue.    the input tensor.   Returns the maximum value of all elements in the input tensor.   Returns the minimum value of all elements in the input tensor.   Returns the p-norm of (input-other)   Returns the log of summed exponentials of each row of the input tensor in the given dimension dim.   Returns the mean value of all elements in the input tensor.   Returns the median of the values in input.   Returns the median of the values in input, ignoringNaNvalues.   Returns a namedtuple(values,indices)wherevaluesis the mode value of each row of the input tensor in the given dimension dim, i.e.   Returns the matrix norm or vector norm of a given tensor.   Returns the sum of all elements, treating Not a Numbers (NaNs) as zero.   Returns the product of all elements in the input tensor.   Computes the q-th quantiles of each row of the input tensor along the dimension dim.   This is a variant of torch.quantile()that “ignores”NaNvalues, computing the quantilesqas ifNaNvalues in inputdid not exist.   If unbiased is True, Bessel’s correction will be used.   If unbiased is True, Bessel’s correction will be used to calculate the standard deviation.   Returns the sum of all elements in the input tensor.   Returns the unique elements of the input tensor.   Eliminates all but the first element from every consecutive group of equivalent elements.   If unbiased is True, Bessel’s correction will be used.   If unbiased is True, Bessel’s correction will be used to calculate the variance.   Counts the number of non-zero values in the tensorinputalong the givendim. ",[107]
11,11,"  Returns the indices of the maximum value of all elements in theinputtensor.   Returns the indices of the minimum value(s) of the flattened tensor or along a dimension   Returns the maximum value of each slice of theinputtensor in the given dimension(s)dim.   Returns the minimum value of each slice of theinputtensor in the given dimension(s)dim.   Tests if all elements in inputevaluate toTrue.    the input tensor.   Returns the maximum value of all elements in theinputtensor.   Returns the minimum value of all elements in theinputtensor.   Returns the p-norm of (input-other)   Returns the log of summed exponentials of each row of theinputtensor in the given dimensiondim.   Returns the mean value of all elements in theinputtensor.   Returns the median of the values in input.   Returns the median of the values in input, ignoringNaNvalues.   Returns a namedtuple(values,indices)wherevaluesis the mode value of each row of theinputtensor in the given dimensiondim, i.e.   Returns the matrix norm or vector norm of a given tensor.   Returns the sum of all elements, treating Not a Numbers (NaNs) as zero.   Returns the product of all elements in theinputtensor.   Computes the q-th quantiles of each row of theinputtensor along the dimensiondim.   This is a variant of torch.quantile()that “ignores”NaNvalues, computing the quantilesqas ifNaNvalues in inputdid not exist.   If unbiased is True, Bessel’s correction will be used.   If unbiased is True, Bessel’s correction will be used to calculate the standard deviation.   Returns the sum of all elements in theinputtensor.   Returns the unique elements of the input tensor.   Eliminates all but the first element from every consecutive group of equivalent elements.   If unbiased is True, Bessel’s correction will be used.   If unbiased is True, Bessel’s correction will be used to calculate the variance.   Counts the number of non-zero values in the tensorinputalong the givendim. ","[303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 689]"
12,12,"  Scripting a function ornn.Modulewill inspect the source code, compile it as TorchScript code using the TorchScript compiler, and return aScriptModuleorScriptFunction.   Trace a function and return an executable  orScriptFunctionthat will be optimized using just-in-time compilation.   Compilesfnwhen it is first called during tracing.   Trace a module and return an executableScriptModulethat will be optimized using just-in-time compilation.   Creates an asynchronous task executingfuncand a reference to the value of the result of this execution.   Forces completion of atorch.jit.Future[T]asynchronous task, returning the result of the task.   A wrapper around C++torch::jit::Module.   Functionally equivalent to aScriptModule, but represents a single function and does not have any attributes or Parameters.   Freezing aScriptModulewill clone it and attempt to inline the cloned module’s submodules, parameters, and attributes as constants in the TorchScript IR Graph.   Save an offline version of this module for use in a separate process.   Load aScriptModuleorScriptFunctionpreviously saved withtorch.jit.save   This decorator indicates to the compiler that a function or method should be ignored and left as a Python function.   This decorator indicates to the compiler that a function or method should be ignored and replaced with the raising of an exception.   This function provides for conatiner type refinement in TorchScript.   This method is a pass-through function that returnsvalue, mostly used to indicate to the TorchScript compiler that the left-hand side expression is a class instance attribute with type oftype.   This method is a pass-through function that returnsthe_value, used to hint TorchScript compiler the type ofthe_value. ","[575, 577, 578]"
13,13,"  Stack tensors in sequence depthwise (along third axis).   Gathers values along an axis specified by dim.   Splitsinput, a tensor with one or more dimensions, into multiple tensors horizontally according toindices_or_sections.   Stack tensors in sequence horizontally (column wise).   Returns a new tensor which indexes theinputtensor along dimensiondimusing the entries inindexwhich is a LongTensor.   Returns a new 1-D tensor which indexes theinputtensor according to the boolean maskmaskwhich is a BoolTensor.   Moves the dimension(s) of input at the position(s) insourceto the position(s) indestination.   Alias for torch.movedim().   Returns a new tensor that is a narrowed version of inputtensor.      Returns a tensor with the same data and number of elements asinput, but with the specified shape.   Alias of torch.vstack().   Out-of-place version of torch.Tensor.scatter_()   Out-of-place version of torch.Tensor.scatter_add_()   Splits the tensor into chunks.   Returns a tensor with all the dimensions of inputof size1removed.   Concatenates a sequence of tensors along a new dimension.   Alias for torch.transpose().   Alias for torch.transpose().   Expectsinputto be <= 2-D tensor and transposes dimensions 0 and 1.   Returns a new tensor with the elements of input at the given indices.   Selects values frominput at the 1-dimensional indices fromindicesalong the givendim.   Splits a tensor into multiple sub-tensors, all of which are views of input, along dimensiondimaccording to the indices or number of sections specified byindices_or_sections.   Constructs a tensor by repeating the elements of input.   Returns a tensor that is a transposed version of input.   Removes a tensor dimension.   Returns a new tensor with a dimension of size one inserted at the specified position.   Splitsinput, a tensor with two or more dimensions, into multiple tensors vertically according toindices_or_sections.   Stack tensors in sequence vertically (row wise).   Return a tensor of elements selected from eitherxory, depending oncondition. ","[195, 197, 198, 199, 205, 207, 208, 209, 210, 211, 212]"
14,14, Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   ,"[837, 851, 854, 856]"
15,15," The state of the optimizer as adict.
It contains two entries: differs between optimizer classes. param_groups - a dict containing all parameter groups Partitions parameters across distributed data parallel ranks. a list of param_groups(which is a list of dict) where each
element of the list contains the param_groups for a rank. Element 0
corresponds to rank 0, etc. We need all the ranks for the broadcast
insidestep(). Returns the local_state_dict for a given rank. ",[516]
16,16," torch.abs()   Computes the inverse cosine of each element in input.   Alias for torch.acos().   Returns a new tensor with the inverse hyperbolic cosine of the elements of input.   Alias for torch.acosh().   Adds the scalar otherto each element of the inputinputand returns a new resulting tensor.   Performs the element-wise division of tensor1 by tensor2, multiply the result by the scalarvalueand add it toinput.   Performs the element-wise multiplication of tensor1 by tensor2, multiply the result by the scalarvalueand add it toinput.   Computes the element-wise angle (in radians) of the giveninputtensor.   Returns a new tensor with the arcsine  of the elements of input.   Alias for torch.asin().   Returns a new tensor with the inverse hyperbolic sine of the elements of input.   Alias for torch.asinh().   Returns a new tensor with the arctangent  of the elements of input.   Alias for torch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements of input.   Alias for torch.atanh().   Element-wise arctangent of inputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND of inputandother.   Computes the bitwise OR of inputandother.   Computes the bitwise XOR of inputandother.   Returns a new tensor with the ceil of the elements of input, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias for torch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude of inputand the sign ofother, elementwise.   Returns a new tensor with the cosine  of the elements of input.   Returns a new tensor with the hyperbolic cosine  of the elements of input.   Returns a new tensor with each of the elements of inputconverted from angles in degrees to radians.   Divides each element of the inputinputby the corresponding element ofother.   Alias for torch.div().   ","[247, 259, 261]"
17,17," torch.acosh().   Adds the scalar otherto each element of the inputinputand returns a new resulting tensor.   Performs the element-wise division of tensor1 by tensor2, multiply the result by the scalarvalueand add it toinput.   Performs the element-wise multiplication of tensor1 by tensor2, multiply the result by the scalarvalueand add it toinput.   Computes the element-wise angle (in radians) of the giveninputtensor.   Returns a new tensor with the arcsine  of the elements of input.   Alias for torch.asin().   Returns a new tensor with the inverse hyperbolic sine of the elements of input.   Alias for torch.asinh().   Returns a new tensor with the arctangent  of the elements of input.   Alias for torch.atan().   Returns a new tensor with the inverse hyperbolic tangent of the elements of input.   Alias for torch.atanh().   Element-wise arctangent of inputi/otheri\text{input}_{i} / \text{other}_{i}inputi​/otheri​with consideration of the quadrant.   Computes the bitwise NOT of the given input tensor.   Computes the bitwise AND of inputandother.   Computes the bitwise OR of inputandother.   Computes the bitwise XOR of inputandother.   Returns a new tensor with the ceil of the elements of input, the smallest integer greater than or equal to each element.   Clamps all elements in inputinto the range[min,max].   Alias for torch.clamp().   Computes the element-wise conjugate of the giveninputtensor.   Create a new floating-point tensor with the magnitude of inputand the sign ofother, elementwise.   Returns a new tensor with the cosine  of the elements of input.   Returns a new tensor with the hyperbolic cosine  of the elements of input.   Returns a new tensor with each of the elements of inputconverted from angles in degrees to radians.   Divides each element of the inputinputby the corresponding element ofother.   Alias for torch.div().   Computes the logarithmic derivative of the gamma function oninput.   Alias for torch.special.erf().   Alias for torch.special.erfc().   Alias for torch.special.erfinv().   ","[251, 255, 265, 270, 272]"
18,18, torch.atanh(). ,[892]
19,19, torch.le(). ,[31]
20,20, torch.ne(). ,"[467, 468]"
21,21,"%rv.1:Tensormeans we assign the output to a (unique) value namedrv.1, that value is ofTensortype and that we do not know its concrete shape. aten::zerosis the operator (equivalent totorch.zeros) and the input list(%4,%6,%6,%10,%12)specifies which values in scope should be passed as inputs. The schema for built-in functions likeaten::zeroscan be found atBuiltin Functions. #test.py:9:10is the location in the original source file that generated this instruction. In this case, it is a file namedtest.py, on line 9, and at character 10. Notice that operators can also have associatedblocks, namely theprim::Loopandprim::Ifoperators. In the graph print-out, these
operators are formatted to reflect their equivalent source code forms
to facilitate easy debugging. Graphs can be inspected as shown to confirm that the computation described
by aScriptModuleis correct, in both automated and manual fashion, as
described below. There are some edge cases that exist where the trace of a given Python
function/module will not be representative of the underlying code. These
cases can include: Tracing of control flow that is dependent on inputs (e.g. tensor shapes) Tracing of in-place operations of tensor views (e.g. indexing on the left-hand side of an assignment) Note that these cases may in fact be traceable in the future. One way to automatically catch many errors in traces is by usingcheck_inputson thetorch.jit.trace()API.check_inputstakes a list of tuples
of inputs that will be used to re-trace the computation and verify the
results. For example: Gives us the following diagnostic information: This message indicates to us that the computation differed between when
we first traced it and when we traced it with thecheck_inputs. Indeed,
the loop within the body ofloop_in_traced_fndepends on the shape
of the inputx, and thus when we try anotherxwith a different
shape, the trace differs. In this case, data-dependent control flow like this can be captured usingtorch.jit.script()instead: Which produces: ","[626, 628, 629]"
22,22,"**default– all trailing arguments will be forwarded to the given optimizer. Example: Add a param group to the Optimizers param_groups. This can be useful when fine tuning a pre-trained network, as frozen
layers can be made trainable and added to theOptimizeras
training progresses. param_group(dict) – Specifies what Tensors should be optimized
along with group specific optimization options. Update the consolidated state_dict list, one per rank. to(int) – the rank that receives the global states. (default: 0) ",[482]
23,23,"2.torch.jit.script(nn_module_instance)is now the preferred way to createScriptModules, instead of inheriting fromtorch.jit.ScriptModule.
These changes combine to provide a simpler, easier-to-use API for converting
yournn.Modules intoScriptModules, ready to be optimized and executed in a
non-Python environment. The new usage looks like this: The module’sforwardis compiled by default. Methods called fromforwardare lazily compiled in the order they are used inforward. To compile a method other thanforwardthat is not called fromforward, add@torch.jit.export. To stop the compiler from compiling a method, add@torch.jit.ignoreor@torch.jit.unused.@ignoreleaves the method as a call to python, and@unusedreplaces it with an exception.@ignoredcannot be exported;@unusedcan. Most attribute types can be inferred, sotorch.jit.Attributeis not necessary. For empty container types, annotate their types usingPEP 526-styleclass annotations. Constants can be marked with aFinalclass annotation instead of adding the name of the member to__constants__. Python 3 type hints can be used in place of torch.jit.annotate The@torch.jit.script_methoddecorator Classes that inherit fromtorch.jit.ScriptModule Thetorch.jit.Attributewrapper class The__constants__array Thetorch.jit.annotatefunction Warning The@torch.jit.ignoreannotation’s behavior changes in
PyTorch 1.2. Before PyTorch 1.2 the @ignore decorator was used to make a function
or method callable from code that is exported. To get this functionality back,
use@torch.jit.unused().@torch.jit.ignoreis now equivalent
to@torch.jit.ignore(drop=False). See@torch.jit.ignoreand@torch.jit.unusedfor details. When passed to thetorch.jit.scriptfunction, atorch.nn.Module’s data is
copied to aScriptModuleand the TorchScript compiler compiles the module.
The module’sforwardis compiled by default. Methods called fromforwardare
lazily compiled in the order they are used inforward, as well as any@torch.jit.exportmethods. ","[637, 639, 642, 643, 644, 645]"
24,24,"21+negative_slope2\sqrt{\frac{2}{1 + \text{negative\_slope}^2}}1+negative_slope22​​ SELU 34\frac{3}{4}43​ Warning In order to implementSelf-Normalizing Neural Networks,
you should usenonlinearity='linear'instead ofnonlinearity='selu'.
This gives the initial weights a variance of1/N,
which is necessary to induce a stable fixed point in the forward pass.
In contrast, the default gain forSELUsacrifices the normalisation
effect for more stable gradient flow in rectangular layers. ",[941]
25,25,"AScriptModulewith a singleforwardmethod will have an attributecode, which you can use to inspect theScriptModule’s code.
If theScriptModulehas more than one method, you will need to access.codeon the method itself and not the module. We can inspect the
code of a method namedfooon aScriptModuleby accessing.foo.code.
The example above produces this output: This is TorchScript’s compilation of the code for theforwardmethod.
You can use this to ensure TorchScript (tracing or scripting) has captured
your model code correctly. TorchScript also has a representation at a lower level than the code pretty-
printer, in the form of IR graphs. TorchScript uses a static single assignment (SSA) intermediate representation
(IR) to represent computation. The instructions in this format consist of
ATen (the C++ backend of PyTorch) operators and other primitive operators,
including control flow operators for loops and conditionals. As an example: graphfollows the same rules described in theInspecting Codesection
with regard toforwardmethod lookup. The example script above produces the graph: Take the instruction%rv.1:Tensor=aten::zeros(%4,%6,%6,%10,%12)#test.py:9:10for
example. %rv.1:Tensormeans we assign the output to a (unique) value namedrv.1, that value is ofTensortype and that we do not know its concrete shape. aten::zerosis the operator (equivalent totorch.zeros) and the input list(%4,%6,%6,%10,%12)specifies which values in scope should be passed as inputs. The schema for built-in functions likeaten::zeroscan be found atBuiltin Functions. #test.py:9:10is the location in the original source file that generated this instruction. In this case, it is a file namedtest.py, on line 9, and at character 10. Notice that operators can also have associatedblocks, namely theprim::Loopandprim::Ifoperators. In the graph print-out, these
operators are formatted to reflect their equivalent source code forms
to facilitate easy debugging. ","[609, 615, 616, 617]"
26,26,"Add a param group to the Optimizers param_groups. This can be useful when fine tuning a pre-trained network, as frozen
layers can be made trainable and added to theOptimizeras
training progresses. param_group(dict) – Specifies what Tensors should be optimized
along with group specific optimization options. Update the consolidated state_dict list, one per rank. to(int) – the rank that receives the global states. (default: 0) Restore the global parameter groups as well as the shard. ",[488]
27,27,"Appendix Migrating to PyTorch 1.2 Recursive Scripting API References TorchScript is a way to create serializable and optimizable models from PyTorch code.
Any TorchScript program can be saved from a Python
process and loaded in a process where there is no Python dependency. We provide tools to incrementally transition a model from a pure Python program
to a TorchScript program that can be run independently from Python, such as in a standalone C++ program.
This makes it possible to train models in PyTorch using familiar tools in Python and then export
the model via TorchScript to a production environment where Python programs may be disadvantageous
for performance and multi-threading reasons. For a gentle introduction to TorchScript, see theIntroduction to TorchScripttutorial. For an end-to-end example of converting a PyTorch model to TorchScript and running it in C++, see theLoading a PyTorch Model in C++tutorial.   Scripting a function ornn.Modulewill inspect the source code, compile it as TorchScript code using the TorchScript compiler, and return aScriptModuleorScriptFunction.   Trace a function and return an executable  orScriptFunctionthat will be optimized using just-in-time compilation.   Compilesfnwhen it is first called during tracing.   Trace a module and return an executableScriptModulethat will be optimized using just-in-time compilation.   Creates an asynchronous task executingfuncand a reference to the value of the result of this execution.   Forces completion of atorch.jit.Future[T]asynchronous task, returning the result of the task.   A wrapper around C++torch::jit::Module.   Functionally equivalent to aScriptModule, but represents a single function and does not have any attributes or Parameters.   Freezing aScriptModulewill clone it and attempt to inline the cloned module’s submodules, parameters, and attributes as constants in the TorchScript IR Graph.   Save an offline version of this module for use in a separate process.   Load aScriptModuleorScriptFunctionpreviously saved withtorch.jit.save ","[561, 568]"
28,28,"Beta:Features are tagged as Beta because the API may change based on
user feedback, because the performance needs to improve, or because
coverage across operators is not yet complete. For Beta features, we are
committing to seeing the feature through to the Stable classification.
We are not, however, committing to backwards compatibility. ","[66, 67]"
