,question,answer,group_id
61,What is the value of a one-dimensional tensor of size steps whose values are evenly spaced from start to end?,Warning Not providing a value for steps is deprecated,2011
62,What type of tensor of size steps does PyTorch create?,one-dimensional,2011
63,For what reason will not providing a value for steps create a tensor with 100 elements?,backwards compatibility,2011
64,"For backwards compatibility, not providing a value for steps will create a tensor with how many elements?",100 elements,2013
65,"In a future PyTorch release, failing to provide a value for steps will throw what?",runtime error,2013
66,Is not providing a value for steps reflected in the documented function signature?,not,8171
67,"For backwards compatibility, not providing a value for steps will create what with 100 elements?",tensor,8171
68,Why is not providing a value for steps deprecated?,not reflected in the documented function signature,4346
69,What type of dtype is used when both start and end are real?,Default,4346
70,"For backwards compatibility, not providing a value for steps will what?",create a tensor with 100 elements,4346
71,What is the starting value for the set of points end?,start,4346
72,Is this behavior reflected in the documented function signature?,not,4345
73,"For backwards compatibility, not providing a value for steps will create what?",a tensor with 100 elements,2012
74,What is the starting value for the set of points end (float)?,start (float),2012
75,What does if None use when both start and end are real?,global default dtype,2012
76,What is the size of the constructed tensor out?,the output tensor,10750
77,What default uses the global default dtype when both start and end are real?,if None,10750
78,What uses the global default dtype when both start and end are real?,if None,10749
79,What is start (float)?,the starting value for the set of points end,10749
80,What does torch.get_default_dtype() use when both start and end are real?,global default dtype,10749
81,"dtype (torch.dpython:type, optional) – what to perform the computation in?",the data type,9206
82,What is the ending value for the set of points steps?,end,9263
83,What does torch.autograd implement?,automatic differentiation of arbitrary scalar valued functions,10992
84,What keyword is used to declare Tensor s for which gradients should be computed?,requires_grad=True,10992
85,What does autograd compute?,the sum of gradients of given tensors with respect to graph leaves,10992
86,What type of tensor types does autograd only support?,floating point Tensor types,10992
87,What does autograd compute and return?,the sum of gradients of outputs with respect to the inputs,10992
88,What does torch.autograd only support for floating point Tensor types?,autograd,10993
89,What function computes the dot product between a vector v and the Jacobian of the given function at the point given by the inputs,function,10993
90,What can you use to capture arguments that are not Tensors or Tensors that don't have requires_grad set?,lambda,10993
91,Computes the sum of gradients of given tensors with respect to what?,graph leaves,1807
92,Computes and returns what?,the sum of gradients of outputs with respect to the inputs,1807
93,"As of now, we only support autograd for what?",floating point Tensor types,10991
94,Computes and returns the sum of gradients of outputs with respect to what?,inputs,1805
95,Warning This API is in what state?,beta,8192
96,What beta is this API in?,beta,8192
97,What is planned before we consider this stable?,major improvements to performances,8192
98,"What does this section contain for the autograd that builds on the basic API above and allows you to compute jacobians, hessians",higher level API,8192
99,What computes the Jacobian of a given function?,functional.jacobian Function,8192
100,What computes the dot product between a vector v and the Jacobian of a given function at the point given by the inputs,functional.vjp Function,8192
101,What computes the dot product between the Hessian of a given scalar function and a vector v at the point given,functional.hvp Function,8192
102,What is very unlikely to change in this API?,function signatures,8192
103,"What does f(input, constant, flag=flag) contain?",boolean flag,8192
104,What do user-provided functions take as input and return only Tensors?,only Tensors,8192
105,What is unlikely to change in the beta version of the autograd API?,function signatures,7453
106,What does this section contain for the autograd?,higher level API,7453
107,What is the higher level API for?,autograd,7794
108,What does the higher level API for the autograd allow you to compute?,"jacobians, hessians",1806
109,What is the function that returns the sum of gradients of outputs with respect to the inputs?,Computes,1652
110,What is computed and returned with respect to the inputs?,the sum of gradients of outputs,1652
111,What is the current state of the autograd API?,beta,7454
112,What level of API does this section contain?,higher level,7793
113,What does the higher level API for autograd allow you to compute?,"jacobians, hessians",7793
114,What does a functional.jacobian Function compute?,Jacobian,9423
115,What does a functional.hessian Function compute of a given scalar function?,Hessian,9423
116,What does a functional.vjp Function compute?,the dot product between a vector v and the Jacobian of the given function at the point given by the inputs,9421
117,What does functional.vjp compute between a vector v and the Jacobian of the given function at the point given by the inputs,the dot product,9421
118,What computes the dot product between the Jacobian of a given function at the point given by the inputs and a vector v,functional.jvp Function,2629
119,What does a function compute of a given scalar function?,Hessian,2629
120,What computes the dot product between a vector v and the Jacobian of the given function at the point given by the inputs?,functional.vjp Function,9416
121,What function computes the dot product between the Jacobian of a given function at the point given by the inputs and a vector,functional.jvp,2632
122,Function that computes what of a given function. functional.hessian Function that computes the Hessian of a given scal,Jacobian,2632
123,Who disabled gradient calculation?,Context-manager,2632
124,What does a function compute of a given function?,Jacobian,2633
125,Function that computes the what of a given function. functional.hessian Function that computes the Hessian of a given s,Jacobian,2630
126,Function that computes the Hessian of a given what?,scalar function,2630
127,Where does functional.vjp compute the dot product between a vector v and the Jacobian of a given function?,the point given by the inputs,2630
128,What function computes the Hessian of a given scalar function?,functional.hessian,7457
129,What function computes the dot product between the Jacobian of the given function at the point given by the inputs and a vector v,functional.jvp,7457
130,What function computes the dot product between the Hessian of a given scalar function and a vector v at the point,functional.hvp,7457
131,What is more information on the differences between no-grad and inference mode?,Locally disabling gradient computation,7457
132,What does this API work with?,user-provided functions,7457
133,What is a functional.hessian Function that computes the Hessian of?,scalar function,9415
134,Functional.vjp Function that computes the dot product between a vector v and what?,the Jacobian,9415
135,Function that computes what of a given scalar function?,Hessian,2628
136,Functional.vjp Function that computes the dot product between a vector v and what of the given function at the point given by the,the Jacobian,2627
137,What function computes the dot product between a vector v and the Hessian of a given scalar function at the point,functional.vhp,2638
138,Function that computes the dot product between a vector v and what of the given function at the point given by the inputs?,the Jacobian,2638
139,What is the name of the function that computes the dot product between a vector v and the Hessian of a given s,functional.hvp,9430
140,Where does a function compute the dot product between a vector v and the Jacobian of a given function?,the point given by the inputs,2637
141,What does a functional.hvp Function compute the dot product between?,the Hessian of a given scalar function and a vector v at the point given by the inputs,9425
142,What computes the dot product between a vector v and the Hessian of a given scalar function at the point given,functional.vhp Function,9428
143,What is the dot product between a given scalar function and a vector v?,Hessian,9428
144,What replaces.grad with a new tensor.grad + new grad?,backward(),9428
145,How many.grads are resetting before each accumulation phase?,None,9428
146,What is the dot product between a given function at the point given by the inputs and a vector v?,Jacobian,2634
147,What is another name for the difference between no-grad and inference mode?,Locally disabling gradient computation,9426
148,What is the function that computes the dot product between a vector v and the Hessian of a given scalar?,function,2636
149,What is the function that computes the dot product between a vector v and the Hessian of a given scalar function,computes the dot product between a vector v and the Hessian of a given scalar function,2636
150,"If param.grad is initially None, what is accumulated as follows?",If param.grad is initially None,2636
151,Where is the dot product between a vector v and the Hessian of a given scalar function computed?,the point given by the inputs,2635
152,What is the difference between no-grad and inference mode?,Locally disabling gradient computation,5762
153,What is the name of the entity that disables gradient calculation?,Context-manager,5762
154,What does a context-manager set gradient calculation to?,on or off,5762
155,What does context-manager do?,disabled gradient calculation,9418
156,What does functional.hvp function do?,computes the dot product between the Hessian of a given scalar function and a vector v,9417
157,What is the name of the program that disables gradient calculation?,Context-manager,9417
158,What is a function that computes the dot product between the Hessian of a given scalar function and a vector,computes the dot product between the Hessian of a given scalar function and a vector v,2639
159,"If param already has a non-sparse attribute, what attribute is created?",.grad attribute,2639
160,What is the name of the function that disables gradient calculation?,Context-manager,2639
161,When is param.grad initially None?,If param’s memory is non-overlapping and dense,2639
162,What mode does a context-manager enable or disable?,inference mode,7010
163,"What is the name of the context managers torch.no_grad(), torch.enable_grad(), and torch.set_grad_",Locally disabling gradient computation,7010
164,What does a context-manager enable or disable when a non-sparse param receives a non-sparse,inference mode,1869
165,What is the initial value of param.grad?,None,9427
166,What is the name of the entity that disabled gradient calculation?,Context-manager,5763
167,"If param.grad is initially None, what happens to param.grad?",If param.grad is initially None,5763
168,What accumulates into.grad in-place if create_graph=False?,backward(),5763
169,"If param's memory is non-overlapping and dense, what is.grad created with?",rowmajor-contiguous strides,5763
170,What does a Context-manager that disables gradient calculation do?,enables gradient calculation,1868
171,If param.grad is initially what?,None,1868
172,When does a non-sparse param receive a non-sparse gradient?,torch.autograd.backward() or torch.Tensor.backward(),8343
173,What does context-manager enable?,gradient calculation,1875
174,"If param's memory is non-overlapping and dense,.grad is created with what?",strides matching param,3471
175,"If param's memory is dense and non-overlapping, what strides are used to create.grad?",rowmajor-contiguous,3471
176,What makes autograd very efficient?,Autograd’s aggressive buffer freeing and reuse,3471
177,Context-manager that sets gradient calculation to what?,on or off,1873
178,What does context-manager enable or disable when a non-sparse param receives a non-sparse gradient?,inference mode,1874
179,What is initial None if a non-sparse param receives a non-sparse gradient?,param,1884
180,"If param.grad is initially None,.grad is created with what strides?",rowmajor-contiguous,3469
181,"If param’s memory is non-overlapping and dense, what is.grad created with?",rowmajor-contiguous strides,1878
182,"If param.grad is initially None,.grad is created with strides matching param (thus matching param’s layout)?",param’s memory is non-overlapping and dense,8342
183,What type of attribute does param already have?,non-sparse,8342
184,"If param.grad is initially None, what strides are created with?",rowmajor-contiguous,8342
185,What happens when a non-sparse param receives a non-sparse gradient?,If param.grad is initially None,8342
186,"If param.grad is initially None, what is.grad created with?",rowmajor-contiguous strides,8344
187,"If param.grad is initially None,.grad is created with strides matching param?",param’s memory is non-overlapping and dense,8344
188,What does backward() replace.grad with?,tensor,8344
189,What is the default behavior of letting.grads be before the first backward()?,None,8344
190,What will not affect.grad layouts?,Calls to model.zero_grad() or optimizer.zero_grad(),8344
191,Resetting all.grads to None before each accumulation phase is a valid alternative to what?,model.zero_grad() or optimizer.zero_grad(),8344
192,What is.grad created with?,rowmajor-contiguous strides,3468
193,"If param.grad is initially None, what causes.grad to be created with strides matching param?",If param’s memory is non-overlapping and dense,3468
194,"If create_graph=False, backward() accumulates into what?",in-place,2640
195,What is a valid alternative to model.zero_grad() or optimizer.zero_grad()?,None,2640
196,What is the name of the function that computes the dot product between the Hessian of a given scalar function and a,Locally disabling gradient computation,2640
197,"If the memory of what is dense and non-overlapping,.grad is created with strides matching param?",param,3470
198,"If param already has a non-sparse.grad attribute, backward() accumulates into.grad in-place,",rowmajor-contiguous,4694
199,What already has a non-sparse.grad attribute?,param,3467
200,Where does backward() accumulate into.grad?,in-place,3405
201,What does backward() replace with a new tensor.grad + new grad?,.grad,3406
202,What is the default behavior for letting.grads be None before the first backward()?,their layout is created according to 1 or 2,3406
203,Which calls will not affect.grad layouts?,model.zero_grad() or optimizer.zero_grad(),3406
204,What are two alternatives to model.zero_grad()?,model.zero_grad() or optimizer.zero_grad(),10779
205,What type of tensor does param.grad have?,zeroed,10779
206,What is a valid alternative to that may improve performance for some networks?,model.zero_grad() or optimizer.zero_grad(),10779
207,Set param.grad = a zeroed tensor with desired strides before the first backward() and never reset it to what,None,10779
208,How many guarantees your layout is preserved as long as create_graph=False?,3,3569
209,What indicates your layout is likely preserved even if create_graph=True?,4,3569
210,What guarantees your layout is preserved as long as create_graph=False?,3,3569
211,What is a zeroed tensor with desired strides before the first backward()?,param.grad,3569
212,"If you need manual control over.grad's strides, assign param.grad = a zeroed tensor with desired",None,3569
213,What is a hard matter in autograd?,Supporting in-place operations in autograd,6103
214,What is a hard matter to support in autograd?,in-place operations,6103
215,What makes Autograd very efficient?,aggressive buffer freeing and reuse,6103
216,Under what conditions might you never need to use in-place operations?,heavy memory pressure,6103
217,"Unless you are operating under heavy memory pressure, you might never need to use in-place operations?",under heavy memory pressure,6102
218,How much do in-place operations lower?,memory usage,6102
219,"If you’re operating under what type of pressure, you might never need to use in-place operations?",heavy memory pressure,6102
220,"What happens if a tensor was saved for backward in one of the functions, but it was modified in-place afterward?",an error will be raised once backward pass is started,1065
221,"If you're using in-place functions and not seeing errors, what can you be sure is correct?",computed gradients,1065
222,"If a tensor was saved for backward in one of the functions, but it was modified in-place afterwards, what will be raised",an error,1065
223,What are correct if you're using in-place functions and not seeing any errors?,computed gradients,1065
224,Why is the Variable API deprecated?,Variables are no longer necessary to use autograd with tensors,8182
225,Autograd automatically supports Tensors with what setting set to True?,requires_grad,8182
226,What is the same thing as tensor.data?,var.data,8182
227,What is no longer necessary to use autograd with tensors?,Variables,8182
228,"What still work as expected, but return Tensors instead of Variables?","Variable(tensor) and Variable(tensor, requires_grad)",8182
229,What methods now work on tensors with the same method names?,"var.backward(), var.detach(), var.register_hook()",8182
230,What are some of the factory methods used to create tensors with requires_grad=True?,"torch.randn(), torch.zeros(), torch.ones()",8182
231,"What do Variable(tensor, requires_grad) return instead of Variables?",Tensors,6954
232,What API has been deprecated?,Variable API,6954
233,Autograd automatically supports Tensors with requires_grad set to what?,True,8181
234,"Which methods still work as expected, but return Tensors instead of Variables?","Variable(tensor) and Variable(tensor, requires_grad)",8128
235,What can one now create tensors with?,requires_grad=True,8128
236,"What do Variable(tensor) and Variable(tensor, requires_grad) do instead of Variables?",return Tensors,8128
237,"What does torch.randn((2, 3, 4), requires_grad=True) call?",autograd_tensor,8128
238,What is the default value of torch.Tensor.grad?,None,10962
239,What is true if gradients need to be computed for this Tensor?,False,10962
240,What are all Tensors that have requires_grad which is False?,leaf Tensors,10962
241,What does torch.Tensor.backward compute the gradient of current tensor?,w.r.t,10962
242,What is the Tensor that is detached from the graph that created it?,a leaf,10962
243,Where is the new Tensor?,detached from the current graph,7466
244,How is a new Tensor created?,detached from the current graph,10973
245,What is False in a Tensor?,requires_grad,10973
246,Where is the new Tensor detached from?,current graph,10973
247,What does torch.Tensor.detach_ Detach the Tensor from the graph that created it into?,leaf,10973
248,What type of hook does torch.Tensor.register_hook(hook) register?,backward,10973
249,What does torch.Tensor do?,register_hook,10977
250,Is True if gradients need to be computed for this Tensor?,False,3869
251,What does torch.Tensor.register_hook register?,backward hook,3869
252,What does the autograd class define formulas for?,differentiating ops,5108
253,What is the Note on how to use this class?,extending the autograd engine,5109
254,Every operation performed on what creates a new function object?,Tensor s,5109
255,What does torch.autograd define formulas for?,differentiating ops,5109
256,What are the edges of the DAG of functions denoting?,data dependencies,5109
257,How is the graph processed when backward is called?,"by calling backward() methods of each Function object, and passing returned gradients on to next Function s",5109
258,What is a recommended way of extending?,torch.autograd,5109
259,Where is the Note on extending the autograd engine?,https://pytorch.org/docs/stable/notes/extending.html,5782
260,What is the form of the history of a Tensor s function object?,DAG of functions,2266
261,What method is used to process a graph when backward is called?,backward() methods,2266
262,What happens to every operation performed on Tensor s?,creates a new function object,2266
263,What do the edges of the DAG of functions denote?,data dependencies,2266
264,What method is called when a graph is processed in the topological ordering?,backward(),2266
265,What is the only way users interact with functions?,creating subclasses and defining new operations,4342
266,What is a recommended way of extending functions?,torch.autograd,4342
267,To what are the following methods available when creating a new Function?,ctx,8351
268,How are tensors modified?,in-place operation,8351
269,What do function._ContextMethodMixin.mark_non_differentiable mark outputs as?,non-differentiable,8351
270,What function saves given tensors for a future call to backward()?,backward,8351
271,What does function._ContextMethodMixin.set_ do?,materialize_grads,8351
272,The following methods are available when creating a new Function?,ctx,8351
273,In what operation are given tensors modified?,in-place,8351
274,What do function._ContextMethodMixin.mark_non_differentiable Marks outputs as?,non-differentiable,8351
275,What does save_for_backward save?,given tensors for a future call to backward(),8351
276,What sets whether to materialize output grad tensors?,set_materialize_grads,8351
277,How are gradients computed?,small finite differences against analytical gradients,1564
278,How are gradients computed against analytical gradients w.r.t?,small finite differences,1564
279,What type of gradients computed via small finite differences against analytical gradients w.r.t?,Check gradients,1564
280,What does Autograd include that lets you inspect the cost of different operators inside your model?,profiler,1374
281,What's the name of the profiler that lets you inspect the cost of different operators inside your model?,profile,1374
282,What does nvprof use to register both CPU and GPU activity?,emit_nvtx,1374
283,What mode is implemented at the moment?,CPU-only,1374
284,What lets you inspect the cost of different operators inside your model?,profiler,1375
285,What is used to register both CPU and GPU activity?,emit_nvtx,1375
286,profiler is what?,thread local,1375
287,CUDA events as well using the cudaEvent API. Adds approximately 4us of overhead to each tensor operation.,use_cuda,1375
288,What does the context manager manage?,autograd profiler state,1867
289,What is recommended to validate the timing?,separate runs with and without shape recording,1867
290,What language does autograd profiler expose events to?,Python,1865
291,under the hood it just records events of functions being executed in what language?,C++,1865
292,Wrap any code into it and it will only report runtime of what?,PyTorch functions,1376
293,What is thread local and is automatically propagated into the async tasks enabled?,profiler,1376
294,wrap any code into it and it will only what?,report runtime of PyTorch functions,1376
295,What types of operators does with_flops only work for?,matrix multiplication and 2D convolution operators,1376
296,autograd includes what that lets you inspect the cost of different operators inside your model - both on the CPU and GPU?,profiler,1376
297,profile,CPU-only,1376
298,nvprof based,emit_nvtx,1376
299,what manages autograd profiler state and holds a summary of results?,Context manager,1376
300,it just records events of functions being executed in what language?,C++,1376
301,approximately how much overhead does each tensor operation add?,4us,1376
302,Context manager that manages what?,autograd profiler state,1866
303,setting this to what makes this context manager a no-op?,False,1866
304,Setting enabled to what makes this context manager a no-op?,False,9258
305,What disables timing of CUDA events?,use_cuda,9258
306,How much overhead does use_cuda add to each tensor operation?,4us,9259
307,What enables timing of CUDA events as well using the cudaEvent API?,use_cuda,11311
308,What is the name of the API that allows timing of CUDA events?,use_cuda,11311
309,How much overhead is added to each tensor operation?,4us,11312
310,What enables timing of CUDA events as well as using the cudaEvent API?,use_cuda,11312
311,What data might shape recording skew?,profiling data,11312
312,Who will estimate the FLOPS value if with_flops is set?,the profiler,10561
313,Why might the total self cpu time be artificially increased for higher level functions?,the shape collection,10561
314,What is used to group input dimensions?,prof.key_averages,10561
315,Shape recording might skew what?,profiling data,10561
316,What might be artificially increased because of shape collection?,the total self cpu time,10561
317,What does with_flops allow one to estimate?,hardware performance,10562
318,What does FLOPS stand for?,floating pointer operations per second,10562
319,What operators does with_flops only work for?,matrix multiplication and 2D convolution operators,10562
320,What is the name of the experimental feature that allows profiling with Kineto profiler?,use_kineto,10562
321,What is the name of the program that makes every autograd operation emit an NVTX range?,nvprof,10562
322,What exports an EventList as a Chrome tracing tools file?,profiler.profile.export_chrome_trace,10562
323,What information will be collected if shapes recording is set?,input dimensions,10562
324,What allows one to see which dimensions have been used under the hood and further group by them using?,prof.key_averages,10562
325,What is the name of the event profiler that can be used to lower the overhead for GPU-only profiling?,use_cpu,10562
326,What does with_stack do?,record source information,11417
327,What does use_cpu do?,profile CPU events,11417
328,What does profiler.profile.export_chrome_trace export an EventList as?,Chrome tracing tools file,11417
329,What does profiler.profile.key_averages average?,all function events over their keys,11417
330,What does every autograd operation emit?,NVTX range,11417
331,What does nvvp stand for?,NVIDIA Visual Profiler,11417
332,What is the name of the plugin that allows profiling with Kineto profiler?,use_kineto,10445
333,"Use_kineto (bool, optional) enables profiling with Kineto profiler. use_cpu (bool, optional",experimental,11416
334,What enables profiling with Kineto profiler?,use_kineto,11416
335,What is the name of the profile CPU events?,use_cpu,11319
336,What Averages all events?,total_average,11319
337,"Use_kineto (bool, optional) - enable profiling with Kineto profiler. use_cpu (bool,",experimental,11415
338,What profile CPU events?,use_cpu,11415
339,What does profiler.profile.self_cpu_time_total do?,profiler.profile.self_cpu_time_total,11412
340,What is the name of the option to record source information for the ops?,with_stack,11412
341,What profiler.profile.self_cpu_time_total does?,profiler.profile.self_cpu_time_total,11412
342,What profiler.profile.key_averages Averages all function events over their keys?,profiler.profile.self_cpu_time_total,11318
343,What is the total time spent on CPU obtained as?,sum of all self times across all the events,10447
344,What is profiler.profile.total_?,average,10456
345,Under what program is the context manager useful?,nvprof,10456
346,What is used to profile CPU events?,use_cpu,11309
347,What returns total time spent on CPU obtained as a sum of all self times across all the events?,profiler.profile.self_cpu_time_total,10453
348,What Averages all function events over their keys?,profiler.profile.key_averages,10453
349,What averages all events?,profiler.profile.total_average,2359
350,What is nvvp?,NVIDIA Visual Profiler,2359
351,Setting enabled=False makes this context manager a what?,no-op,2359
352,What may increase the overhead of nvtx range creation?,shape recording,2359
353,What does profiler.profile.total_average Average?,all events,10454
354,Profiler.profile.self_cpu_time_total Returns total time spent on what?,CPU,10451
355,What is an EventList exported as?,Chrome tracing tools file,2358
356,Under what program is the NVTX range useful?,nvprof,10455
357,What is the name of all events in profiler.profile?,total_average,10455
358,Exports an EventList as a what browser tracing tools file?,Chrome,2356
359,Where are all function events averaged?,over their keys,1388
360,Returns total time spent on what?,CPU,5690
361,What is returned as a sum of all self times across all events?,total time spent on CPU,5690
362,What does profiler.profile.total_average do?,profiler.profile.total_average Averages all events,10459
363,What range does every autograd operation emit?,NVTX,10458
364,When is the NVTX range useful?,when running the program under nvprof,10458
365,What is a Context manager that makes every autograd operation emit an NVTX range?,Averages all events,1386
366,Context manager that makes every autograd operation emit what?,NVTX range,1386
367,When is the context manager useful?,when running the program under nvprof,1386
368,What is the name of the range that every autograd operation emits?,NVTX,1862
369,What does the context manager make every autograd operation emit?,NVTX range,1862
370,What is the name of the context manager that makes every autograd operation emit an NVTX range?,nvprof,1862
371,What makes every autograd operation emit an NVTX range?,Context manager,1863
372,What does the context manager do?,Averages all events,1387
373,What program is useful when running the program under?,nvprof,3952
374,What is a context manager used for?,CUDA profiling,3952
375,What is another name for torch.autograd.profiler.load_nvprof()?,Python REPL,3952
376,In what language can torch.autograd.profiler.load_nvprof() be used?,Python,8055
377,Is there a way to force nvprof to flush the data it collected to disk?,there’s no way to force nvprof to flush the data it collected to disk,8055
378,What does the context manager do to annotate nvprof traces and wait for the process to exit before inspecting them?,CUDA profiling,8056
379,What is the default value of enabled?,True,8056
380,What default setting makes enabled=False a no-op?,True,9261
381,What is an example of a difficult task when viewing a profile created using emit_nvtx in the Nvidia Visual Profiler?,Forward-backward correlation,2287
382,In what program is emit_nvtx used?,Nvidia Visual Profiler,2287
383,What does emit_nvtx append to the ranges it generates?,sequence number information,2594
384,What is difficult when viewing a profile created using emit_nvtx in the Nvidia Visual Profiler?,Forward-backward correlation,2594
385,What type of correlation can be difficult when viewing a profile created using emit_nvtx in the Nvidia Visual Profiler?,Forward-backward,2594
386,Where is emit_nvtx used?,Nvidia Visual Profiler,2594
387,What can be difficult when viewing a profile created using emit_nvtx in the Nvidia Visual Profiler?,correlating each backward-pass op with the corresponding forward-pass op,8386
388,What is the term for a double backward?,Double-backward,2202
389,What is the term for a double-backward?,Double-backward,2202
390,What enable anomaly detection for the autograd engine?,Context-manager,1870
391,What type of test will slow down your program execution?,Example,1870
392,What does running the forward pass with detection enabled allow the backward pass to print?,the traceback,5722
393,Any backward computation that generate “nan” value will what?,raise an error,1871
394,Warning This mode should be enabled only for what purpose?,debugging,1871
395,Set_detect_anomaly can be used as what?,context-manager or as a function,1871
396,What does the context-manager do?,sets the anomaly detection for the autograd engine on or off,1871
397,What will enable or disable the autograd anomaly detection based on its argument mode?,set_detect_anomaly,1871
398,"For details of the anomaly detection behaviour, see what above?",detect_anomaly,1871
399,What is the name of the flag that indicates whether to enable or disable the autograd anomaly detection?,mode,1871
400,What does two things: Running the forward pass with detection enabled will allow the backward pass to print the traceback of the forward operation that created the failing,Context-manager,1871
401,What does running the forward pass with detection enabled do?,will allow the backward pass to print the traceback of the forward operation that created the failing backward function,1871
402,What will raise an error?,Any backward computation that generate “nan” value,1148
403,This mode should be enabled only for what purpose?,debugging,1148
404,What is an example that sets the anomaly detection for the autograd engine on or off?,Context-manager,7744
405,Set_detect_anomaly will enable or disable the autograd anomaly detection based on what?,argument mode,7744
406,What should this mode be enabled only for?,debugging,7744
407,What is the name of the setting that sets the autograd anomaly detection?,detect_anomaly,7744
408,What does mode (bool) do to enable or disable anomaly detection?,Flag,7744
409,This mode should only be enabled for what purpose?,debugging,7744
410,"For details of the anomaly detection behaviour, see what?",detect_anomaly,8199
411,Warning This mode should only be enabled for what purpose?,debugging,8199
412,What algorithm is used to efficiently compute the matrix product of the NNN 2-D tensors?,matrix chain order algorithm,5598
