,question,answer,group_id
41,What TORCH.IS_TENSOR does?,Returns True if obj is a PyTorch tensor.,145
42,What TORCH.IS_TENSOR return?,True,145
43,What is the function that returns true if obj is a PyTorch tensor?,TORCH.IS_TENSOR,145
44,What is the return value for if obj is a PyTorch tensor?,True,145
45,What is the function that returns True if obj is a PyTorch tensor?,"doingisinstance(obj,Tensor)",145
46,What is better for typechecking with mypy?,isinstance,144
47,What is that isinstance check better for?,typechecking with mypy,144
48,What does set_flush_denormal() do?,Disables denormal floating numbers on CPU,65
49,On what architectures is set_flush_denormal() only supported?,x86 architectures,65
50,What controls whether to enable flush denormal mode or not?,mode(bool),65
51,What does set_flush_denormal() do on CPU?,Disables denormal floating numbers,65
52,Sums the product of the elements of the inputoperandsalong dimensions specified using a notation based on what convention?,Sums the product of the elements of the input operands along dimensions specified using a notation based on the Einstein summation convention.,207
53,What does TORCH.SPECIAL do?,"Computes the entropy on input (as defined below), elementwise.",305
54,What does TORCH.BARTLETT_WINDOW do?,The input window_length is a positive integer controlling the returned window size. periodic flag determines whether the returned window trims off the last duplicate value from the symmetric window and is ready to be used as a periodic window with functions like torch.stft(),220
55,What is the Bartlett window function?,"The input window_length is a positive integer controlling the returned window size. periodic flag determines whether the returned window trims off the last duplicate value from the symmetric window and is ready to be used as a periodic window with functions like torch.stft(). Therefore, if periodic is true, the NN in above formula is in fact 	ext{window_length} + 1window_length+1. Also, we always have torch.bartlett_window(L, periodic=True) equal to torch.bartlett_window(L + 1, periodic=False)[:-1]).",221
56,"What is the same as totorch.bartlett_window(L+1,periodic=False)?",havetorch.bartlett_window,222
57,What does TORCH.BARTLETT_WINDOW returns?,"A 1-D tensor of size (	ext{window_length},)(window_length,) containing the window",96
58,What is the desired data type of returned tensor?,"dtype(torch.dtype, optional)",108
59,What is non-integerstep subject to when comparing againstend?,floating point rounding errors,108
60,What is the starting value for the set of points?,start(Number),108
61,What is the ending value for the set of points?,end(Number),108
62,When the data type is inferred from the other input arguments?,If dtype is not given,108
63,"What is the default dtype inferred to if any ofstart,end, orstopare floating-point?",betorch.int64,108
64,What is the default for the layout of the returned Tensor?,Default:torch.strided,108
65,What is the length of the window that contains a single value?,window_length=1=1=1,91
66,What is the size of returned window periodic?,window_length,343
67,What is the desired layout of returned window tensor?,layout,343
68,What type of layout is supported?,Only torch.strided,343
69,What is the desired device of returned tensor by torch.bartlett_window?,"device(torch.device, optional)",343
70,What should record operations on the returned tensor?,autograd,343
71,What is the default value for autograd to record operations on the returned tensor?,Default:False,343
72,What is the library part of?,thePyTorchproject,246
73,What is the release status of PyTorch?,Stable,246
74,What is the library part of?,thePyTorchproject,246
75,What is PyTorch?,open source machine learning framework,247
76,What does PyTorch expect to maintain?,backwards compatibility,247
77,What project is this library part of?,thePyTorchproject,247
78,What do we expect to maintain?,backwards compatibility,247
79,What are we not committing to?,backwards compatibility,247
80,We are not committing to what?,backwards compatibility,247
81,"Thetorchaudiopackage consists of I/O, common audio transformations, and what?",popular datasets,247
82,"What consists of I/O, popular datasets and common audio transformations?",Thetorchaudiopackage,247
83,What type of machine learning framework is PyTorch?,open source,245
84,What is the release status of the features described in this documentation?,Stable,73
85,What is the release status of features described in this documentation?,Stable,74
86,What may the API change based on?,user feedback,74
87,What classification are Beta features committed to seeing through?,"Features are tagged as Beta because the API may change based on
user feedback, because the performance needs to improve, or because
coverage across operators is not yet complete.",74
88,What libraries are included in Thetorchaudiopackage?,Package Reference PyTorch Libraries,74
89,What type of features will be maintained long-term?,Stable,206
90,How long will these features be maintained?,long-term,206
91,Why are features tagged as Beta?,the performance needs to improve,28
92,What classification do we commit to seeing a feature through to?,Stable,28
93,What are features sometimes hidden behind?,run-time flags,133
94,What are features at an early stage for?,feedback and testing,133
95,What does Thetorchaudiopackage consist of?,"I/O, common audio transformations, popular datasets",133
96,What are PyPI and Conda features sometimes hidden behind?,early stage for feedback and testing.,133
97,What are Prototype features at an early stage for?,feedback and testing,133
98,What is the LU solve of the linear systemAx=bAx = bAx=busing?,LU factorization of A fromtorch.lu(),171
99,"This function supports float,double, and what other type of input?",cfloat,171
100,What types of types does this function support?,"float,double,cfloatandcdoubledtypes forinput",172
101,What is the pivoted LU factorization of A fromtorch.lu()?,LU_data(Tensor),172
102,"What is the RHS tensor of size(,m,k)(*, m, k)(,m",b(Tensor),270
103,"What is the pivoted LU factorization of A fromtorch.lu()of size(,m,m)(*,",LU_data,270
104,"What are the pivots of the LU factorization fromtorch.lu()of size(,m)(*, m",LU_pivots,270
105,What must the batch dimensions ofLU_pivots be equal to?,the batch dimensions ofLU_data,270
106,Returns what of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A,LU solve,42
107,"Out(Tensor,optional) – what?",output tensor,307
108,Returns the indices that sort a tensor along a given dimension in what order?,ascending order by value,178
109,What does the documentation of bytorch.sort() provide?,exact semantics,178
110,What do you need to know about the second value returned bytorch.sort()?,semantics,178
111,What is argsort?,argsort Returns the indices that sort a tensor along a given dimension in ascending order by value,178
112,argsort Returns the indices that sort a tensor along a given dimension in what order?,ascending order by value,178
113,What is the second value returned?,bytorch.sort(),178
114,What is the dimension to sort along descending?,"dim(int,optional)",178
115,What is returned bytorch.sort()?,second value,178
116,"What is the dimension to sort along descending(bool,optional)?","dim(int,optional)",178
117,What returns the cumulative maximum of elements of input in the dimensiondim?,a namedtuple,158
118,What is the index location of each maximum value found in the dimensiondim?,Andindices,160
119,What type of window types are supported?,floating point types,342
120,What returns a window to be used as periodic function?,torch.bartlett_window,317
121,What types are supported only by torch.bartlett_window?,floating point types,278
122,What is supported for dense layout by torch.bartlett_window?,Only torch.strided,291
123,"A 1-D tensor of size(window_length,)(textwindow_length,)(window_",window Tensor,274
124,What is the default setting for autograd to record operations on the returned tensor?,False,274
125,"What is a window Tensor of size(window_length,)(textwindow_length,)(wind",1-D tensor,274
126,What does if None use for the default tensor type?,current device,280
127,What is step(Number)?,the gap between each pair of adjacent points,280
128,What happens when a data type is inferred from the other input arguments?,If dtype is not given,280
129,What is the default layout of returned tensor?,Default:torch.strided,280
130,Returns what of a given tensor?,matrix norm or vector norm,10
131,How does Glorot describe training deep feedforward neural networks?,using a uniform distribution,273
132,"What function does a 2-dimensionaltorch.Tensor Examples Fills the 3, 4, 5-dimensional inputTens",Dirac delta function,273
133,"What is it called when a tensor has values sampled fromU(a,a)mathcalU(",Glorot initialization,273
134,What is the term for a tensor?,tensor,268
135,"In what year did Glorot, X. & Bengio, Y. begin training deep feedforward neural networks?",2010,328
136,What is a Tensor gain?,an optional scaling factor,328
137,"Fills the 3, 4, 5-dimensional input Tensor with what function?",Dirac delta function,77
138,What is another name for Glorot initialization?,"torch.nn.init.xavier_uniform_(tensor, gain=1.0)",324
139,What is a tensor gain?,an optional scaling factor,324
140,"Glorot, X. & Bengio, Y. (2010), using what distribution?",normal distribution,324
141,What does tensor fill the 2-dimensional input Tensor with?,identity matrix,324
142,"What function does tensor fill the 3, 4, 5-dimensional input Tensor with?",Dirac delta function,324
143,"What is the resulting tensor's values sampled fromN(0,std2)mathcalN(",Glorot initialization,324
144,What is an optional tensor gain?,scaling factor,324
145,What is batch1(Tensor)?,first batch of matrices to be multiplied batch2(Tensor),114
146,What is an example of a batch matrix-matrix product?,Example,114
147,What does this class wrap?,arbitrary optim.Optimizer,240
148,What happens after parameters are updated locally?,each rank will broadcast its parameters to all other peers,240
149,What kind of algorithm does ZeroRedundancyOptimizer use?,greedy,240
150,What is the partition of each parameter at each rank?,arbitrary,240
151,Restore the global parameter groups. to(int) – the rank that receives the global states. (default: 0) ,Restore the global parameter groups,240
152,Each parameter belongs to what?,a single rank,265
153,Params(Iterable) – anIterableof torch.Tensors optimizer_class(tor,local optimizer,265
154,"When disabled, each what will be communicated separately?",individual parameter,265
155,What uses a greedy algorithm to pack a number of parameters at each rank?,ZeroRedundancyOptimizer,265
156,What is the partition of the algorithm?,arbitrary,265
157,What is the default behavior of ZeroRedundancyOptimizer?,all trailing arguments will be forwarded to the given optimizer,265
158,state_dict(dict) – what state should be an object returned from a call tostate_dict() Gets this rank’sstate,optimizer state,265
159,What should state_dict(dict) be?,an object returned from a call tostate_dict() Gets this rank’sstate_dict,265
160,What is a list ofparam_groups?,a list ofparam_groups,265
161,What corresponds to the param_groups for a rank?,Element 0,265
162,"What group(ProcessGroup, optional) –torch.distributedProcessGroup?","group(ProcessGroup, optional) –torch.distributedProcessGroup",302
163,"When enabled, parameters will be packed into what?",larger buckets,302
164,What is the default in torch.distributed.optim.ZeroRedundancyOptimizer?,all trailing arguments will be forwarded to the given optimizer,302
165,How many update the consolidated state_dict list?,one per rank,302
166,When can adding a param group to theOptimizersparam_groups be useful?,when fine tuning a pre-trained network,302
167,How many consolidated state_dict lists are updated per rank?,one per rank,302
168,To(int) – the rank that receives the global states. (default: what?,0,302
169,"When disabled, what happens to each individual parameter?",each individual parameter will be communicated separately,302
170,State_dict(dict) – optimizer state. Should be what?,an object returned from a call tostate_dict() Gets this rank’sstate_dict,302
171,Returns what for a given rank?,local_state_dict,302
172,What is the class of the local optimizer?,optimizer_class,302
173,What should be optimized along with group specific optimization options?,Tensors,302
174,"What corresponds to rank 0, etc. We need all the ranks for the broadcast insidestep(). Returns the local_state_dict for a",Element 0,302
175,globalstate_dict is what?,last known global optimizer state,302
176,What performs performs?,Performs,302
177,When can a param group be useful?,when fine tuning a pre-trained network,316
178,What is params(Iterable) – anIterableof torch.Tensors?,optimizer,316
179,"Update the consolidated state_dict list, how many per rank?",one per rank,316
180,Restore the global parameter groups as well as the what?,shard,316
181,state_dict(dict) – what?,optimizer state,316
182,"Which element corresponds to rank 0, etc. We need all the ranks for the broadcast insidestep(). Returns the local_state_dict for ",Element 0,316
183,What package contains data structures for multi-dimensional tensors and defines mathematical operations over these tensors?,torch,229
184,What counterpart does the torch package have?,CUDA,229
185,What does the torch package return?,total number of elements in theinputtensor,229
186,What does the torch package construct?,a tensor withdata,229
187,What does the COO(rdinate) format contain?,specified values at the givenindices,229
188,What does the torch package do?,Create,229
189,Returns what if theinputis a single element tensor?,True if theinputis a single element tensor,149
190,Creation ops are listed under Random sampling and include:torch.rand()torch.rand()torch.rand,Random sampling,149
191,"Returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize. Returns ",Returns a tensor,149
192,Get the what?,current default floating pointtorch.dtype,148
193,Random sampling creation ops are listed under Random samplingand include:torch.rand()torch.rand()torch.,Random sampling creation ops,64
194,Constructs what?,a tensor withdata,53
195,"What type of tensor of sizesteps whose values are evenly spaced from start to end, inclusive?",one-dimensional,53
196,"What returns a tensor filled with the scalar value0, with the shape defined by the variable argumentsize?",a tensor filled with the scalar value0,150
197,What does a tensor in COO(rdinate) format contain?,specified values at the givenindices,139
198,What is created of sizesteps whose values are evenly spaced from start to end inclusive?,one-dimensional tensor,139
199,Returns a tensor filled with the shape defined by the variable argumentsize. Returns a tensor filled with what?,scalar value1,5
200,Returns a what tensor with ones on the diagonal and zeros elsewhere?,2-D,5
201,Returns a what?,random permutation of integers from0ton-1,6
202,Random numbers from a normal distribution with mean0and variance1 is also called what?,standard normal distribution,6
203,Returns a tensor with the same size as input that is filled with random numbers from a normal distribution with mean what?,0 and variance 1,6
204,Where is each element sampled from?,Poisson distribution,6
205,What is returned if a tensor is filled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive),a tensor,6
206,What does Sets the default floating point dtype tod get?,current default floating pointtorch.dtype,195
207,Returns a what type of tensor of size end start stepleftlceil fractextend,1-D tensor,195
208,What is the current default floating pointtorch.dtype?,current default floating pointtorch.dtype,87
209,Returns a what type of tensor?,1-D tensor,87
210,Returns a tensor filled with what value1?,scalar,196
211,Creation ops are listed under Random sampling and include:torch.rand()torch.rand()torch.randin,Random sampling,196
212,Returns a what type of tensor of size end start step+1leftlfloor fractext,1-D tensor,192
213,Returns what tensor of size end start step+1leftlfloor fractextend -,1-D tensor,194
214,What type of tensor is returned?,tensor filled with the scalar value1,147
215,What type of tensor of sizesteps whose values are evenly spaced from start to end inclusive?,one-dimensional tensor,55
216,Returns what tensor with ones on the diagonal and zeros elsewhere?,2-D tensor,55
217,Returns an uninitialized tensor with what size?,same size asinput,55
218,Concatenates what in the given dimension?,given sequence ofseqtensors,52
219,"Splitsinput, a tensor with three or more dimensions, into what?",multiple tensors depthwise,52
220,Gathers values along an axis specified what?,by dim,52
221,Expectsinputto be = what?,2-D tensor,52
222,"Splitsinput, a tensor with one or more dimensions, into what?",multiple tensors,56
223,What is the name of the index that returns a new tensor which indexes theinputtensor along dimensiondimusing,a LongTensor,56
224,Creates a new tensor by doing what?,horizontally stacking the tensors in tensors,56
225,What happens along an axis specified by dim?,Gathers values,56
226,What does Alias for torch.movedim() return a new tensor that is?,a narrowed version of inputtensor,56
227,"What function returns a tensor with the same data and number of elements asinput, but with the specified shape?",Alias of torch.vstack(),56
228,What are the elements of input at the given?,indices,56
229,Stack tensors in sequence what way (column wise)?,horizontally,13
230,What is the boolean maskmask that returns a new 1-D tensor which indexes theinputtensor,a BoolTensor,13
231,What is the new tensor that returns a new tensor that is?,a narrowed version of inputtensor,13
232,What does Alias for torch.transpose() stand for?,"tack tensors in sequence depthwise (along third axis).   Gathers values along an axis specified by dim.   Splitsinput, a tensor with one or more dimensions, into multiple tensors horizontally according toindices_or_sections",13
233,What happens when a sequence of tensors is stacked along a new dimension?,Concatenates a sequence of tensors along a new dimension,13
234,Selects values frominput at what?,1-dimensional indices,13
235,Where do Stack tensors stack in sequence?,depthwise,13
236,Gathers values along what axis?,axis specified by dim,13
237,Splitsinput into what horizontally according toindices_or_sections?,multiple tensors,13
238,What is the name of the index which indexes theinputtensor along dimensiondimusing the entries inindex?,a LongTensor,13
239,Returns what with the elements of input at the given indices?,a new tensor,13
240,Sets the seed for generating random numbers to what?,non-deterministic random number,198
241,Sets the seed for generating random numbers to a non-deterministic random number.,Sets the seed for generating random numbers,198
242,Random numbers drawn from separate normal distributions where mean and standard deviation are given?,whose mean and standard deviation are given,198
243,What is filled with random numbers from a normal distribution with mean 0 and variance 1?,a tensor with the same size asinput,198
244,What is the in-place version of torch.Tensor.bernoulli_()?,torch.Tensor.bernoulli_(),198
245,Returns the initial seed for generating random numbers as what?,Python long,179
246,Returns a tensor filled with random integers generated uniformly what?,betweenlow(inclusive) andhigh(exclusive),179
247,Returns a tensor of random numbers drawn from separate normal distributions where mean and standard deviation are given?,whose mean and standard deviation are given,179
248,What does Returns a tensor filled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive)?,a tensor,179
249,Draws binary random numbers (0 or 1) from a what distribution?,Bernoulli,68
250,What is returned with the same shape as Tensorinputfilled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive,a tensor,68
251,What is the name of the number drawn from the Cauchy distribution torch?,torch.Tensor.cauchy_(),68
252,Each element sampled from a what distribution with rate parameter given by the corresponding element in input?,Poisson,68
253,What returns a tensor filled with random numbers from a normal distribution with mean 0 and variance1?,random permutation of integers from0ton-1,68
254,What is the name of the in-place version of the Torch.bernoulli() torch?,torch.Tensor.bernoulli_(),68
255,What is the tensor filled with in Bernoulli distribution?,random integers,68
256,Returns what where each row containsnum_samplesindices sampled from the multinomial probability distribution located in the corresponding row,a tensor,197
257,What returns a random permutation of integers from0ton-1?,random permutation of integers from0ton-1,197
258,Sets what state?,random number generator state,197
259,Returns what tensor with the same shape as Tensorinputfilled with random integers generated uniformly betweenlow(inclusive),a tensor,197
260,From what distribution is each element sampled?,Poisson distribution,170
261,Returns a tensor of random numbers drawn from separate normal distributions what?,whose mean and standard deviation are given,170
262,Where each row containsnum_samplesindices sampled from the multinomial probability distribution located in the corresponding row of ten,a tensor,170
263,Returns a tensor with what shape as Tensorinput?,same shape,170
264,What is the name of the in-place version of Torch.bernoulli() torch?,torch.Tensor.bernoulli_(),170
265,What is the name of the function that returns the initial seed for generating random numbers as a Python long?,Sets the seed for generating random numbers,199
266,Returns the initial seed for generating random numbers as a what?,Python long,199
267,Sets the seed for generating random numbers. Returns the random number generator state as atorch.ByteTensor.,random number generator state,199
268,What are the numbers drawn from the Cauchy distribution?,torch.Tensor.cauchy_(),199
269,What is a tensor filled with?,uninitialized data,58
270,Computes the what value of each element in input?,absolute value,37
271,Adds what to each element of the inputinputand returns a new resulting tensor?,scalar other,37
272,What clamps all elements in inputinto the range?,Clamps all elements in inputinto the range,37
273, torch.abs() Computes the what cosine of each element in input?,inverse,16
274,What does Alias for torch.acosh() add?,scalar otherto each element of the inputinput,16
275,What does Alias for torch.abs() do?,Computes the inverse cosine of each element in input,16
276,What is the cosine of the elements of input?,inverse hyperbolic,49
277,Computes the what cosine of each element in input?,inverse,49
278,Computes the inverse cosine of each element in input. Computes the smallest integer greater than or equal to each element.,torch.clamp(),49
279,Performs the element-wise division what?,of tensor1 by tensor2,126
280,Computes the giveninputtensor's what?,element-wise angle,126
281,Which function returns a new tensor with the arctangent of the elements of input?,torch.asinh(),126
282,Performs the element-wise multiplication what?,of tensor1 by tensor2,126
283, torch.asin(). Returns a new tensor with what of the elements of input?,inverse hyperbolic sine,126
284, torch.asinh(). Returns a new tensor with the what of the elements ofin,arctangent,126
285,"Clamps which elements in inputinto the range[min,max].?","all elements in inputinto the range[min,max].",126
286, torch.clamp(). Computes the what of the giveninputtensor?,element-wise conjugate,126
287,"Create a new what tensor with the magnitude of inputand the sign ofother, elementwise?",floating-point tensor,126
288,Performs what?,element-wise multiplication,17
289,Inputi/otheritextinput_i / textotheriinputi /other,quadrant,17
290,Computes the giveninputtensor. Returns a new tensor with the arcsine of the elements ofin,element-wise angle,17
291,What function adds the scalar otherto each element of the inputinputand returns a new resulting tensor?, torch.acosh(),17
292,Returns a new tensor with what of the element?,cosine,17
293,What does Alias for torch.asinh() return a new tensor with?,arctangent,43
294,What is the smallest integer greater than or equal to each element?,the ceil of the elements of input,43
295,What is computed?,the element-wise angle (in radians) of the giveninputtensor,43
296,Who returns a new tensor with the inverse hyperbolic tangent of the elements of input?, torch.atanh(),167
297,What function computes the element-wise conjugate of the giveninputtensor?, torch.clamp(),167
298,Who returns a new tensor with the arctangent of the elements of input?, torch.asinh(),167
299,What is the name of the function that returns a new tensor with the exponential of the elements of input?, torch.special.erfinv(),167
300,Returns a new tensor with what of the elements of the elements of the input?,inverse hyperbolic sine of the elements of input,167
301,Computes the what of inputandother?,bitwise XOR,1
302,Clamps all elements in inputinto what range?,"range[min,max]",1
303,"Create a new what with the magnitude of inputand the sign ofother, elementwise?",floating-point tensor,1
304,Returns a new tensor with what element of the elements of input?,cosine,1
305,What are the elements of inputconverted from?,angles in degrees to radians,1
306,What happens to each element of the inputinput by the corresponding element ofother?,Divides each element of the inputinputby the corresponding element ofother,1
307,Computes the logarithmic derivative of the gamma function oninput?, torch.div(),1
308,Computes the what of the gamma function oninput?,logarithmic derivative,1
309,What does Alias for torch call?,special.erf(),1
310,What is another name for Alias for torch.special.erf()?, torch.special.erfc(),1
311,What element of the elements of input does Alias for torch.asinh() return a new tensor with,arctangent,1
312,Returns a new tensor with the inverse hyperbolic tangent of the elements of input. Alias fort,atan(),1
313,The arctangent of inputi/otheri is considered with consideration of what?,quadrant,1
314,What function returns a new tensor with the exponential of the elements of the input tensorinput?, torch.special.erfinv(),1
315,Returns a new tensor with what of the elements of the input tensorinput?,exponential,1
316,What is the name of the function that returns a new tensor with the exponential of the elements of the input tensorinput, torch.special.exp2(),1
317,Who returns a new tensor with the inverse hyperbolic sine of the elements of input?,torch.asin(),164
318,Computes the logarithmic derivative of the gamma function oninput. Computes the logarithmic derivative of the, torch.special.erf(),164
319,Clamps all elements in inputinto what?,"range[min,max]",128
320,Which function returns a new tensor with the inverse hyperbolic tangent of the elements of input?, torch.atanh(),128
321,Inputi/otheritextinputi / textotheriinputi /otheri with consideration of,quadrant,128
322,Multiply the result by the scalarvalue and add it toinput. Computes the element-wise angle (in radi,of tensor1 by tensor2,128
323,Computes what of the giveninputtensor?,the element-wise angle,128
324,Computes the element-wise what of the giveninputtensor?,conjugate,128
325,What is returned with each of the elements of inputconverted from angles in degrees to radians?,a new tensor,128
326,What does divide each element of the inputinput by the corresponding element ofother?,Divides each element of the inputinputby the corresponding element ofother,128
327,What type of tensor is created with the magnitude of input?,floating-point tensor,166
328,Returns the indices of what value of all elements in theinputtensor?,the maximum value,11
329,Tests if all elements in inputevaluate what?,toTrue,11
330,Returns the log of summed exponentials of each row of theinputtensor in the given dimensiondim. Returns the mean,p-norm of (input-other) Returns the log of summed exponentials,11
331,"Returns the median of the values in input, doing what?",ignoringNaNvalues,11
332,Computes what quantiles of each row of theinputtensor along the dimensiondim?,q-th,11
333,What is the result of Computes the q-th quantiles of each row of theinputtensor along the dimensiondim,variant of torch.quantile()that “ignores”NaNvalues,11
334,"If unbiased is True, what will be used?",Bessel’s correction,11
335,Bessel's correction will be used to calculate what?,standard deviation,11
336,"Returns the input tensor. Eliminates all but the first element from every consecutive group of equivalent elements. If unbiased is True,",unique elements,11
337,Which element is eliminated from every consecutive group of equivalent elements?,Eliminates all but the first element,11
338,When Bessel’s correction will be used.,If unbiased is True,11
339,Returns the maximum value of all elements in theinputtensor. Returns the minimum value of all elements in theinputtensor,input tensor,11
340,Returns a what dimension view of each input tensor with zero dimensions?,3-dimensional,153
341,What is one way to create a block diagonal matrix from provided tensors?,Count the frequency of each value in an array of non-negative ints,153
342,"Returns what of the buckets to which each value in the input belongs, where the boundaries of the buckets are set byboundaries",indices,153
343,What Sums the product of the elements of the inputoperandsalong dimensions specified using a notation?,Sums the product of the elements of the inputoperandsalong dimensions specified using a notation,153
344,What is created from provided tensors?,Create a block diagonal matrix,154
345,What product of the given sequence of tensors. Computes batched the p-norm distance between each pair of the,Do cartesian product,154
346,Compute combinations of lengthrrrof the given tensor. Returns a copy of input. Returns a copy of,Compute combinations of lengthrrrof the given tensor,154
347,Returns a view of each input tensor with zero dimensions. Count the frequency of each value in an array of non-negative in,3-dimensional,154
348,What is another way to create a block diagonal matrix from provided tensors?,Count the frequency of each value in an array of non-negative ints,154
349,What is the result of Flattensinput by reshaping it into a one-dimensional tensor?,Reverse,154
350,Broadcasts the given tensors according to what?,Broadcasting semantics,54
351,How do you count the frequency of each value in an array of non-negative ints?,Count the frequency of each value in an array of non-negative ints,54
352,Create what from provided tensors?,block diagonal matrix,54
353,Compute combinations of lengthrrrof the given tensor. Returns the cross product of vectors in dimensiondimof input,Compute combinations of lengthrrrof the given tensor,54
354,Reverse the order of what along given axis?,n-D tensor,54
355,Returns what wherevaluesis the cumulative minimum of elements of inputin the dimensiondim?,"a namedtuple(values,indices)",33
356,What does Rotate by 90 degrees in the plane specified by dims axis?,Rotate a n-D tensor,33
357,Computes the histogram of what?,element-wise greatest common divisor,33
358,Computes what along the given dimension?,n-th forward difference,156
359,What is done by reshaping it into a one-dimensional tensor?,Flattensinput,156
360,Sums the product of the elements of inputoperandsalong dimensions specified using a notation based on what?,Einstein,156
361,Compute combinations of lengthrrof the given tensor. Returns the cross product of vectors in dimensiondimof inputand,Compute combinations of lengthrrrof the given tensor,156
362,What returns a new tensor?,Flip tensor in the up/down direction,156
363,"In the left/right direction, returning a new tensor. Flip tensor in the up/down direction, returning a",Flip tensor,156
364,"Computes what product, denoted by otimes, of inputandother?",Kronecker,156
365,What does Rotate a n-D tensor by 90 degrees in the plane specified by dims axis?,Rotate,156
366,Computes the element-wise greatest common divisor of inputandother. Computes the histogram of a tensor.,GCD,156
367,Computes what of a tensor?,histogram,156
368,What can be either scalar or scalar?,TakeNNNtensors,156
369,For what do Broadcast_tensors() work?,shapes,200
370,Flattensinput by reshaping it into what?,one-dimensional tensor,200
371,"In the left/right direction, returning a new tensor. In the up/down direction, returning a new tensor",Flip tensor,200
372,Reverse the order of what along given axis in dims?,n-D tensor,173
373,Performs what of matrices stored inbatch1andbatch2 with a reduced add step (all matrix multiplications get ,a batch matrix-matrix product,119
374,Performs a batch matrix-matrix product of what?,matrices inbatch1andbatch2,119
375,Returns what matrix product of the NNN2-D tensors?,matrix product of -D tensors,119
376,What does Computes the LU factorization of a matrix?,Computes the LU factorization of a matrix,119
377,What product of the matrixmatand the vectorvec is performed?,matrix-vector product,122
378,Performs what of the matrices mat1 and mat2?,matrix multiplication,122
379,Performs the outer-product of vectors vec1 and vec2and adds it to what?,matrix input,125
380,Performs what of the matrixmatand the vectorvec?,matrix-vector product,125
381,Computes the inverse of a symmetric positive-definite matrixAAAusing its what?,Cholesky factoruuu,184
382,Positive semidefinite matrix to be inverted given its what?,Cholesky factor matrixuuu,184
383,What does the matrix product of two tensors return?,Matrix product of two tensors,184
384,What does matrix_power() return?,numerical rank,184
385,Computes the solution to what problems for a full rank matrix?,least squares and least norm problems,184
386,Computes the decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices,Cholesky,184
387,Returns what of the NNN2-D tensors?,matrix product,184
388,Computes what of a real square matrix?,eigenvalues and eigenvectors,184
389,What is this function for calling LAPACK's geqrf directly?,low-level function,184
390,What does a linear system of equations with a positive semidefinite matrix have to be inverted given?,Cholesky factor matrixuuu,184
